closure_id,priority,domain,selection_or_evidence_item,required_input,acceptance_evidence,owner,status,order_gate
SEL-ARM-001,P0,mechanical,exact seven-axis arm revision and controller,dated supplier quotation plus base/control drawings,approved MPN revision reaction-load table power and safety I/O map,Mechanical Owner,OPEN,BLOCKED
SEL-LIFT-001,P0,mechanical,four LC3 ordering codes and synchronizer,dated supplier quotation plus column/controller datasheets,stroke speed skew limit brake and lock proof-load report,Mechanical Owner,OPEN,BLOCKED
SEL-DRIVE-001,P0,mobility,two BG75/PLG75 motor gearbox brake configurations,supplier torque-speed thermal and shaft drawings,matched motor-drive-wheel calculation and signed supplier curve,Motion Owner,OPEN,BLOCKED
SEL-WHEEL-001,P0,mobility,200 mm driven wheel hub bearing and four support casters,hub/tire/caster drawings and load ratings,wheel sweep bearing preload retention and loaded floor test,Mechanical Owner,OPEN,BLOCKED
SEL-SERVO-001,P0,mobility,dual STO servo drive exact variant,drive datasheet and motor compatibility table,STO timing regeneration clamp EMC and thermal evidence,Electrical Owner,OPEN,BLOCKED
SEL-BAT-001,P0,power,16S LiFePO4 pack and charger,cell/BMS/charger quotation and UN38.3 package,80 A continuous 120 A peak pack test precharge fuse contactor and thermal report,Power Owner,OPEN,BLOCKED
SEL-BMS-001,P0,power,Orion BMS 2 harness and configuration,current sensor thermistor and contactor map,CAN fault matrix over/under voltage current temperature and open-wire test,Power Owner,OPEN,BLOCKED
SEL-SAFE-001,P0,safety,PNOZmulti safety I/O and PLr allocation,safety requirements and risk assessment,dual-channel E-stop STO brake lift-lock and reset validation,Safety Owner,OPEN,BLOCKED
SEL-PCB-001,P0,pcb,controller and traction PCB exact MPN/footprint set,approved AVL and supplier land-pattern drawings,ERC DRC thermal isolation and DFM reports,Electrical Owner,OPEN,BLOCKED
SEL-HAR-001,P0,harness,all connector housing/contact/cable MPNs,manufacturer drawings and crimp-tool data,serialized continuity pull-force bend/chafe and shield termination report,Harness Owner,OPEN,BLOCKED
SEL-THERM-001,P1,thermal,drive/PCB/battery cooling design,supplier losses and enclosure airflow assumptions,steady-state thermal map at worst duty cycle,Thermal Owner,OPEN,BLOCKED
SEL-EMC-001,P1,compliance,EMC protection and cable shield implementation,drive and converter EMC guidance,pre-compliance emissions/immunity and ESD evidence,Compliance Owner,OPEN,BLOCKED
SEL-STAB-001,P1,safety,loaded center-of-gravity and outrigger geometry,measured masses and arm payload envelope,static pull test and minimum tip-angle report,Validation Owner,OPEN,BLOCKED
SEL-BRAKE-001,P1,safety,drive brake and stop-distance validation,brake torque curves and floor friction,measured stop time/distance on slope and low battery,Validation Owner,OPEN,BLOCKED
SEL-DFM-001,P1,manufacturing,supplier DFM for PCB/mechanical/harness,Gerber/STEP/drawing package,closed DFM issue list and dated supplier signoff,Manufacturing Owner,OPEN,BLOCKED
SEL-COST-001,P0,cost,EVT and 100-unit landed-cost rollup,three dated quotes per high-cost assembly,approved cost rollup tied to MPN revision and quantity,Procurement Owner,OPEN,BLOCKED
